SampleId,C-0668-B1,C-0598-B1,C-0575-B1,C-0891-B1,C-0888-B1,C-0735-B1,C-0688-B1,C-0731-B1,C-0667-B1,C-0173-B1,C-0684-B1,C-0561-B1,C-0563-B1,C-0798-B1,C-0681-B1,C-0777-B1,C-0585-B1,C-0689-B1,C-0743-B1,C-0887-B1,C-0771-B1,C-0179-B1,C-0169-B1,C-0666-B1,C-0890-B1,C-0662-B1,C-0564-B1,C-0772-B1,C-0592-B1,C-0768-B1,C-0726-B1,C-0588-B1,C-0185-B1,C-0692-B1,C-0166-B1,C-0874-B1,C-0665-B1,C-0889-B1,C-0751-B1,C-0728-B1,C-0677-B1,C-0883-B1,C-0796-B1,C-0590-B1,C-0879-B1,C-0690-B1,C-0146-B1,C-0608-B1,C-0607-B1,C-0596-B1,C-0780-B1,C-0168-B1,C-0756-B1,C-0593-B1,C-0875-B1,C-0788-B1,C-0886-B1,C-0767-B1,C-0154-B1,C-0737-B1,C-0878-B1,C-0885-B1,C-0880-B1,C-0884-B1,C-0769-B1,C-0147-B1,C-0781-B1,C-0685-B1
CRBB2,845.6,822.4,725.6,896.4,943.9,952,2161.3,774.9,820.6,960.6,767,867.1,733.5,728.3,711.8,1225.9,1035.5,985,837.7,765.3,863.4,733,969.2,721.4,942.1,922.7,2294.4,783.2,922.9,817.4,780.8,972,708.7,861.5,740.7,865.2,808.5,778.6,888,833.2,887.8,875.3,1511.5,642.4,963.2,717.8,964.3,812.9,847.5,11297.1,820.8,723.8,787.7,792.7,781.7,1900.8,696.4,4913.1,2323.1,811,824.2,902.1,704.8,7477,871.8,879.8,813.5,817.1
VDR,756.5,960.4,782.2,770.7,904.1,823.2,858.6,808.1,833,847.8,748.8,835.9,872.5,703.2,819.1,742.7,785.8,836.9,861.1,775,971.7,712.7,663,824.1,774.5,864.4,918.4,1003.2,816.5,933.5,917,1249.3,801.1,874.3,762.6,811.5,884.2,839.1,808.7,915.1,1035.3,854.8,904,707.9,867.2,797.7,1050.6,791.2,962.7,765.4,854.4,728.3,817.9,796.8,817.1,754.7,761.1,806.6,803.2,764.6,798,980.3,720.9,839.3,912.4,720.6,759.3,904.9
DUS4,605.3,623.3,598.8,606.3,660,624.6,567.7,593.1,799.6,596,566.9,581.9,599.4,584,571.5,581,642.9,728.7,648.9,561.4,676,691.9,610.1,597.6,619,756.3,652.8,637.5,653.1,600.2,653.9,674.8,576.8,674.2,628.1,648.7,633.5,641.6,697.7,664.9,644.5,604.8,641.5,541.8,685.1,563,683.5,639.1,668.1,678.7,636,617.2,633.7,616.8,654.2,616.7,553.1,706,714.7,610.6,554.3,703.7,561.3,607.1,631.6,653.9,627.9,670.5
WN10A,1458,2506.4,1573.2,1959.6,2349.1,1779.4,1715.4,1875.2,1904.5,1521.4,1768.8,2120,2304,1565.4,1878,1660.7,1663.9,1482.1,1800,1714.2,2336.9,1172.2,1328,1903.5,1815.8,2237.1,1763.3,1883.1,1459.2,2392.4,1976.1,2690.7,1728.3,2025.2,1847.6,1720.8,2389.1,2118.4,1945.3,2329.8,2431.8,2036.4,2215.1,1285.7,1833.4,1955.4,2712,1320.6,2562,1717.4,2389.8,1320.4,1678.2,2048.4,1720.7,1703.6,1601.2,1852.6,2121.3,1454.5,1509.5,2632.8,1756.7,1891.6,2039.5,1481.6,1753.5,1887.9
cIAP.1,1574,1461.4,1271.2,1170.6,1197.8,1426.7,1483.9,1644.8,147367.9,1268.6,1922.8,1587.7,1508.6,1309.6,2261.4,2116.3,1487.2,1613.2,1571.1,2103.3,1170.2,2537.8,1371.3,1619.1,1440.1,3061.6,1248.3,1849.5,1295.2,1440.6,1608.4,1276.2,2266,1646.4,2012.1,1582.6,1607.3,1381.5,1081.1,1582.9,1382.7,2084.8,1318.1,1600.4,2039.8,2794,1162.5,1715.8,1121.3,1304.3,1671.5,1270,1379.6,1884.4,3025.4,1743.5,2981,1385.5,1144.9,1501.3,1469.2,1178.5,2021.6,1878.6,1286.7,1206,1724.8,1957.2
NCF.2,1326.1,628.7,569.2,655.8,1111.1,576.7,868.3,727,508.3,772.2,652.3,688.5,612.4,488,593.6,713.2,788,956.1,671.6,571.6,615.6,889.8,850,701.2,766.2,857.1,595.8,621.6,669.7,583.5,541,697.7,611.5,595.4,715.3,631.8,549.3,831.2,706.4,658.1,568.2,741.8,976.3,704.4,638.8,608.2,655.5,682.2,606.4,1032.1,645,505,709.3,579.7,596.3,616.3,808.9,669.5,2867,636.2,605.6,595,817.4,727.3,674.3,8821.2,566.2,630.4
FOXM1,2250.6,3657,2947,1984.4,2160.1,2558.2,5162.7,3710.4,4083,2608,5970.8,2808.5,4581.9,3017.5,6408.9,3330.5,2810.4,1713.1,3536.5,5786.4,2874.1,2406.9,3966.1,3385.9,3753.1,2459.7,2384.5,3207.5,3192.8,4079.3,2384.9,2481.3,6989.1,1902.2,4208.2,1903.8,4764,2890.7,1920.6,2618.5,4817.1,5557.7,3659.8,6448.1,4917.9,7791,1916.5,2503.8,2197.6,2121.6,4396.4,2720.7,3779.3,3352.5,7219.1,3248.4,10801.5,4084.6,1392.1,3468.4,3924.2,1941.7,3870.3,4317.2,3199.1,1303.4,3331.5,3482.4
PLCG2,2245.2,5717.4,4129.2,2052.1,1760.6,3025.8,3504.4,4121.6,4078,2836.5,6085,3432.4,6537.4,3601.4,5759.1,1814.3,2201.1,3032.9,7848,6558.1,4221.2,10420.9,5953,6206.9,4231.9,2766.9,2516.5,3237.8,4165.7,5702.8,3136.2,1998.8,8776.2,1556.2,5207.9,2009.1,3935.8,3028.7,1815.4,3486.3,3992.5,9321.9,2212.6,12419.8,5702.6,7713.3,2364.1,3093.1,3762.2,4109.8,8238.9,7344.7,7116.9,6737.2,5433.3,3428.7,13756.7,5426.4,1993.1,4294.8,6155,1960.8,6886.5,5291,4392.1,1230.2,3358.9,3001.6
BAG3,868.1,776.3,762.1,888.8,814.5,768.8,774.3,701.6,753.9,795.1,758.8,786.8,755.8,776.6,689.6,735.3,794.1,1148.6,770.5,667.4,813.5,1003.8,704,778.1,716.4,900.4,762.7,883.7,753.2,754.7,796.8,787.5,716.3,796,741.7,763.2,791.6,809.8,806.6,779.4,739.8,683.3,803.6,642.2,782.2,695.3,755.7,831.8,769.8,850.8,726.8,798.2,697,721,613.3,751,697.5,715.5,773.3,731.8,669.8,848.1,695.7,744.2,769.1,839.4,769.5,787.9
CBS,2308.9,2157.4,2266.8,2391.3,1931.3,2485.3,1955.7,2527.8,2199.3,2230.2,2386.3,2305.6,2357.7,2235.6,2296.8,2526.5,1803.4,2297.2,2248.3,2358.4,2241,1990,1741.5,2489.4,2286.6,7861.2,2081.5,2388.7,2256.3,2287.5,2520,2789.5,2339.3,2485.1,1862.4,2663.3,2248,2231,2208.7,2113.8,2434,2125.1,2048.9,2229.6,6999.1,2432.3,1911.8,2320.6,2057.8,1849.9,2238.9,2060.9,1934,2165.3,2226.1,2477.9,2543.8,2189.7,2572.6,2103.7,2303.5,2232.7,2306.4,2378.4,2151.5,2393.8,2084.8,2470.8
